Date,YearlyGRate (%)
1951,2.64
1952,2.85
1953,2.95
1954,2.97
1955,2.96
1956,2.94
1957,2.93
1958,2.95
1959,3.02
1960,3.11
1961,3.2
1962,3.26
1963,3.24
1964,3.12
1965,2.95
1966,2.77
1967,2.62
1968,2.5
1969,2.44
1970,2.41
1971,2.39
1972,2.37
1973,2.37
1974,2.4
1975,2.45
1976,2.52
1977,2.58
1978,2.6
1979,2.57
1980,2.51
1981,2.43
1982,2.38
1983,2.4
1984,2.52
1985,2.68
1986,2.86
1987,2.99
1988,3.04
1989,2.99
1990,2.86
1991,2.72
1992,2.61
1993,2.54
1994,2.52
1995,2.55
1996,2.57
1997,2.58
1998,2.54
1999,2.45
2000,2.34
2001,2.21
2002,2.11
2003,2.02
2004,1.97
2005,1.93
2006,1.89
2007,1.84
2008,1.82
2009,1.82
2010,1.84
2011,1.86
2012,1.87
2013,1.84
2014,1.75
2015,1.64
2016,1.51
2017,1.4
2018,1.32
2019,1.29
